Fecha	Hora	dd	ff
17/07/2004	18	270	21
18/07/2004	0	290	12
18/07/2004	6	320	11
18/07/2004	12	310	16
18/07/2004	18	300	20
19/07/2004	0	280	20
19/07/2004	6	280	12
19/07/2004	12	330	22
19/07/2004	18	350	30
20/07/2004	0	360	30
20/07/2004	6	350	22
20/07/2004	12	290	34
20/07/2004	18	270	35
21/07/2004	0	280	21
21/07/2004	6	340	20
21/07/2004	12	340	17
21/07/2004	18	320	18
22/07/2004	0	330	15
22/07/2004	6	360	18
22/07/2004	12	330	15
22/07/2004	18	250	24
23/07/2004	0	340	15
23/07/2004	6	290	30
23/07/2004	12	310	36
23/07/2004	18	260	26
17/11/2004	0	300	24
17/11/2004	6	280	13
17/11/2004	12	320	21
17/11/2004	18	310	22
18/11/2004	0	300	26
18/11/2004	6	300	18
18/11/2004	12	350	24
18/11/2004	18	350	32
19/11/2004	0	270	28
19/11/2004	6	270	20
19/11/2004	12	300	23
19/11/2004	18	300	18
20/11/2004	0	270	17
20/11/2004	6	320	12
20/11/2004	12	360	20
20/11/2004	18	360	26
9/12/2004	0	320	6
9/12/2004	6	350	19
9/12/2004	12	360	21
9/12/2004	18	280	18
10/12/2004	0	320	16
10/12/2004	6	330	12
10/12/2004	12	260	8
10/12/2004	18	240	6
11/12/2004	0	120	22
11/12/2004	6	100	30
11/12/2004	12	100	40
11/12/2004	18	110	40
9/2/2005	0	270	25
9/2/2005	6	250	20
9/2/2005	12	230	13
9/2/2005	18	250	9
10/2/2005	0	300	9
10/2/2005	6	360	12
10/2/2005	12	340	18
10/2/2005	18	330	27
11/2/2005	0	270	21
11/2/2005	6	280	18
11/2/2005	12	280	29
11/2/2005	18	290	32
12/2/2005	0	290	30
12/2/2005	6	290	40
12/2/2005	12	300	31
12/2/2005	18	300	22
8/08/2005	0	260	15
8/08/2005	6	310	19
8/08/2005	12	330	21
8/08/2005	18	350	17
9/08/2005	0	360	23
9/08/2005	6	330	23
9/08/2005	12	310	17
9/08/2005	18	330	23
10/08/2005	0	290	26
10/08/2005	6	320	15
10/08/2005	12	360	11
10/08/2005	18	30	15
